coverage,retained_n,retained_mae,retained_rmse,method,risk_col
0.55,3775,0.02129792063461987,0.04293789354188095,Pred-L-Mondrian Std-MC CP,pred_l_mondrian_std_mc_width
0.6,4118,0.02303060827193055,0.045175366687426825,Pred-L-Mondrian Std-MC CP,pred_l_mondrian_std_mc_width
0.65,4461,0.02450990097035418,0.04793321266846365,Pred-L-Mondrian Std-MC CP,pred_l_mondrian_std_mc_width
0.7000000000000001,4804,0.02569977672988135,0.049790157290020724,Pred-L-Mondrian Std-MC CP,pred_l_mondrian_std_mc_width
0.75,5148,0.02677050603359557,0.051235558239115825,Pred-L-Mondrian Std-MC CP,pred_l_mondrian_std_mc_width
0.8,5491,0.028558645821207432,0.054837458096534,Pred-L-Mondrian Std-MC CP,pred_l_mondrian_std_mc_width
0.85,5834,0.029632805474177237,0.05678087663555186,Pred-L-Mondrian Std-MC CP,pred_l_mondrian_std_mc_width
0.9,6177,0.030520115732661487,0.05746457183795765,Pred-L-Mondrian Std-MC CP,pred_l_mondrian_std_mc_width
0.9500000000000001,6520,0.03179270808226227,0.059866770344571094,Pred-L-Mondrian Std-MC CP,pred_l_mondrian_std_mc_width
1.0,6864,0.03395800975354749,0.06399190454009,Pred-L-Mondrian Std-MC CP,pred_l_mondrian_std_mc_width
