x_bin,y_bin,z_mean,count,x_center,y_center
"(0.786, 0.857]","(0.1, 0.2]",0.006360918780487805,41,0.8215,0.15000000000000002
"(0.786, 0.857]","(0.2, 0.3]",0.009912537380952385,42,0.8215,0.25
"(0.786, 0.857]","(0.3, 0.4]",0.014012885277777795,36,0.8215,0.35
"(0.786, 0.857]","(0.4, 0.5]",0.028450459090909094,22,0.8215,0.45
"(0.786, 0.857]","(0.5, 0.6]",0.013143770298507461,67,0.8215,0.55
"(0.786, 0.857]","(0.6, 0.7]",0.011762816097560976,41,0.8215,0.6499999999999999
"(0.786, 0.857]","(0.7, 0.8]",0.022242846,15,0.8215,0.75
"(0.786, 0.857]","(0.8, 0.9]",,1,0.8215,0.8500000000000001
"(0.786, 0.857]","(0.9, 1.0]",,0,0.8215,0.95
"(0.857, 0.929]","(-0.001, 0.1]",,0,0.893,0.0495
"(0.857, 0.929]","(0.1, 0.2]",,8,0.893,0.15000000000000002
"(0.857, 0.929]","(0.2, 0.3]",0.012113844358974361,78,0.893,0.25
"(0.857, 0.929]","(0.3, 0.4]",0.013210035945945942,37,0.893,0.35
"(0.857, 0.929]","(0.4, 0.5]",,6,0.893,0.45
"(0.857, 0.929]","(0.5, 0.6]",0.020939963750000002,24,0.893,0.55
"(0.857, 0.929]","(0.6, 0.7]",,12,0.893,0.6499999999999999
"(0.857, 0.929]","(0.7, 0.8]",,1,0.893,0.75
"(0.857, 0.929]","(0.8, 0.9]",,0,0.893,0.8500000000000001
"(0.857, 0.929]","(0.9, 1.0]",,0,0.893,0.95
"(0.929, 1.0]","(-0.001, 0.1]",,0,0.9645,0.0495
"(0.929, 1.0]","(0.1, 0.2]",,0,0.9645,0.15000000000000002
"(0.929, 1.0]","(0.2, 0.3]",,11,0.9645,0.25
"(0.929, 1.0]","(0.3, 0.4]",,7,0.9645,0.35
"(0.929, 1.0]","(0.4, 0.5]",,3,0.9645,0.45
"(0.929, 1.0]","(0.5, 0.6]",,8,0.9645,0.55
"(0.929, 1.0]","(0.6, 0.7]",0.025443492499999998,16,0.9645,0.6499999999999999
"(0.929, 1.0]","(0.7, 0.8]",,5,0.9645,0.75
"(0.929, 1.0]","(0.8, 0.9]",,0,0.9645,0.8500000000000001
"(0.929, 1.0]","(0.9, 1.0]",,0,0.9645,0.95
