x_bin,y_bin,z_mean,count,x_center,y_center
"(0.5, 0.556]","(0.667, 0.75]",,8,0.528,0.7085
"(0.5, 0.556]","(0.75, 0.833]",,4,0.528,0.7915
"(0.5, 0.556]","(0.833, 0.917]",,1,0.528,0.875
"(0.5, 0.556]","(0.917, 1.0]",,0,0.528,0.9585
"(0.556, 0.611]","(-0.001, 0.0833]",0.014870539534883716,43,0.5835,0.04115
"(0.556, 0.611]","(0.0833, 0.167]",0.01212238347826087,23,0.5835,0.12515
"(0.556, 0.611]","(0.167, 0.25]",0.06042064083333334,12,0.5835,0.20850000000000002
"(0.556, 0.611]","(0.25, 0.333]",0.037881215555555556,27,0.5835,0.2915
"(0.556, 0.611]","(0.333, 0.417]",0.035532731538461544,26,0.5835,0.375
"(0.556, 0.611]","(0.417, 0.5]",0.06130852285714287,14,0.5835,0.4585
"(0.556, 0.611]","(0.5, 0.583]",0.07960268899999998,10,0.5835,0.5415
"(0.556, 0.611]","(0.583, 0.667]",0.13414653499999998,12,0.5835,0.625
"(0.556, 0.611]","(0.667, 0.75]",0.08578128266666665,15,0.5835,0.7085
"(0.556, 0.611]","(0.75, 0.833]",0.08477021642857142,14,0.5835,0.7915
"(0.556, 0.611]","(0.833, 0.917]",,3,0.5835,0.875
"(0.556, 0.611]","(0.917, 1.0]",,0,0.5835,0.9585
"(0.611, 0.667]","(-0.001, 0.0833]",0.02806811403508773,57,0.639,0.04115
"(0.611, 0.667]","(0.0833, 0.167]",0.015187850000000015,19,0.639,0.12515
"(0.611, 0.667]","(0.167, 0.25]",0.016113413142857143,35,0.639,0.20850000000000002
"(0.611, 0.667]","(0.25, 0.333]",0.021144512125,80,0.639,0.2915
"(0.611, 0.667]","(0.333, 0.417]",0.013310022278481016,79,0.639,0.375
"(0.611, 0.667]","(0.417, 0.5]",0.022933104655172412,58,0.639,0.4585
"(0.611, 0.667]","(0.5, 0.583]",0.017862580136986293,73,0.639,0.5415
"(0.611, 0.667]","(0.583, 0.667]",0.024856035526315795,76,0.639,0.625
"(0.611, 0.667]","(0.667, 0.75]",0.016620426296296304,27,0.639,0.7085
"(0.611, 0.667]","(0.75, 0.833]",,5,0.639,0.7915
"(0.611, 0.667]","(0.833, 0.917]",,2,0.639,0.875
"(0.611, 0.667]","(0.917, 1.0]",,0,0.639,0.9585
"(0.667, 0.722]","(-0.001, 0.0833]",0.025879187916666647,24,0.6945,0.04115
"(0.667, 0.722]","(0.0833, 0.167]",0.01638684795454546,44,0.6945,0.12515
"(0.667, 0.722]","(0.167, 0.25]",0.012951968780487814,41,0.6945,0.20850000000000002
"(0.667, 0.722]","(0.25, 0.333]",0.025204607567567552,37,0.6945,0.2915
"(0.667, 0.722]","(0.333, 0.417]",0.04064577421052631,19,0.6945,0.375
"(0.667, 0.722]","(0.417, 0.5]",,9,0.6945,0.4585
"(0.667, 0.722]","(0.5, 0.583]",0.02503821846153847,13,0.6945,0.5415
"(0.667, 0.722]","(0.583, 0.667]",,5,0.6945,0.625
"(0.667, 0.722]","(0.667, 0.75]",,2,0.6945,0.7085
"(0.667, 0.722]","(0.75, 0.833]",,0,0.6945,0.7915
"(0.667, 0.722]","(0.833, 0.917]",,0,0.6945,0.875
"(0.667, 0.722]","(0.917, 1.0]",,0,0.6945,0.9585
"(0.722, 0.778]","(-0.001, 0.0833]",,1,0.75,0.04115
"(0.722, 0.778]","(0.0833, 0.167]",0.01218236695652175,23,0.75,0.12515
"(0.722, 0.778]","(0.167, 0.25]",,8,0.75,0.20850000000000002
"(0.722, 0.778]","(0.25, 0.333]",,2,0.75,0.2915
"(0.722, 0.778]","(0.333, 0.417]",0.016246929,10,0.75,0.375
"(0.722, 0.778]","(0.417, 0.5]",0.07300440541666665,24,0.75,0.4585
"(0.722, 0.778]","(0.5, 0.583]",0.03163008312500003,16,0.75,0.5415
"(0.722, 0.778]","(0.583, 0.667]",0.025033275,10,0.75,0.625
"(0.722, 0.778]","(0.667, 0.75]",,5,0.75,0.7085
"(0.722, 0.778]","(0.75, 0.833]",,9,0.75,0.7915
"(0.722, 0.778]","(0.833, 0.917]",,7,0.75,0.875
"(0.722, 0.778]","(0.917, 1.0]",,0,0.75,0.9585
"(0.778, 0.833]","(-0.001, 0.0833]",,1,0.8055,0.04115
"(0.778, 0.833]","(0.0833, 0.167]",0.007387045999999975,15,0.8055,0.12515
"(0.778, 0.833]","(0.167, 0.25]",0.008877311904761915,21,0.8055,0.20850000000000002
"(0.778, 0.833]","(0.25, 0.333]",0.008803565882352959,34,0.8055,0.2915
"(0.778, 0.833]","(0.333, 0.417]",0.01967407027027027,37,0.8055,0.375
"(0.778, 0.833]","(0.417, 0.5]",0.01848428733333334,15,0.8055,0.4585
"(0.778, 0.833]","(0.5, 0.583]",0.0209582178125,32,0.8055,0.5415
"(0.778, 0.833]","(0.583, 0.667]",0.010993514137931041,29,0.8055,0.625
"(0.778, 0.833]","(0.667, 0.75]",0.015715822105263157,19,0.8055,0.7085
"(0.778, 0.833]","(0.75, 0.833]",,6,0.8055,0.7915
"(0.778, 0.833]","(0.833, 0.917]",,2,0.8055,0.875
"(0.778, 0.833]","(0.917, 1.0]",,0,0.8055,0.9585
"(0.833, 0.889]","(-0.001, 0.0833]",,0,0.861,0.04115
"(0.833, 0.889]","(0.0833, 0.167]",0.005461945789473677,19,0.861,0.12515
"(0.833, 0.889]","(0.167, 0.25]",0.011453281818181825,55,0.861,0.20850000000000002
"(0.833, 0.889]","(0.25, 0.333]",0.012786091052631562,19,0.861,0.2915
"(0.833, 0.889]","(0.333, 0.417]",0.022033099999999993,10,0.861,0.375
"(0.833, 0.889]","(0.417, 0.5]",,4,0.861,0.4585
"(0.833, 0.889]","(0.5, 0.583]",0.0088718612,25,0.861,0.5415
"(0.833, 0.889]","(0.583, 0.667]",0.012275851481481479,27,0.861,0.625
"(0.833, 0.889]","(0.667, 0.75]",,5,0.861,0.7085
"(0.833, 0.889]","(0.75, 0.833]",,2,0.861,0.7915
"(0.833, 0.889]","(0.833, 0.917]",,0,0.861,0.875
"(0.833, 0.889]","(0.917, 1.0]",,0,0.861,0.9585
"(0.889, 0.944]","(-0.001, 0.0833]",,0,0.9165,0.04115
"(0.889, 0.944]","(0.0833, 0.167]",,1,0.9165,0.12515
"(0.889, 0.944]","(0.167, 0.25]",0.013064726800000002,25,0.9165,0.20850000000000002
"(0.889, 0.944]","(0.25, 0.333]",0.010467944615384618,26,0.9165,0.2915
"(0.889, 0.944]","(0.333, 0.417]",0.013283197999999986,10,0.9165,0.375
"(0.889, 0.944]","(0.417, 0.5]",,3,0.9165,0.4585
"(0.889, 0.944]","(0.5, 0.583]",0.022153399411764713,17,0.9165,0.5415
"(0.889, 0.944]","(0.583, 0.667]",0.02681882166666665,12,0.9165,0.625
"(0.889, 0.944]","(0.667, 0.75]",,5,0.9165,0.7085
"(0.889, 0.944]","(0.75, 0.833]",,0,0.9165,0.7915
"(0.889, 0.944]","(0.833, 0.917]",,0,0.9165,0.875
"(0.889, 0.944]","(0.917, 1.0]",,0,0.9165,0.9585
"(0.944, 1.0]","(-0.001, 0.0833]",,0,0.972,0.04115
